"efforts_tuples","selected0","selected1","count","count_normalized"
"[-1,-1,0,-1]_[1,0,1,1]",0,2,1,0.0833333333333333
"[-1,-1,0,-1]_[1,0,1,1]",1,2,6,0.5
"[-1,-1,0,-1]_[1,1,-1,0]",0,1,3,1
"[-1,-1,0,-1]_[1,1,-1,0]",0,2,0,0
"[-1,-1,0,-1]_[1,1,-1,0]",1,2,0,0
"[-1,-1,0,-1]_[1,1,0,-1]",0,1,1,0.142857142857143
"[-1,-1,0,-1]_[1,1,0,-1]",0,2,6,0.857142857142857
"[-1,-1,0,-1]_[1,1,0,-1]",1,2,0,0
"[-1,-1,0,-1]_[1,1,0,0]",0,1,1,0.0833333333333333
"[-1,-1,0,-1]_[1,1,0,0]",0,2,5,0.416666666666667
"[-1,-1,0,-1]_[1,1,0,0]",1,2,6,0.5
"[-1,-1,0,-1]_[1,1,0,1]",0,1,1,0.25
"[-1,-1,0,-1]_[1,1,0,1]",0,2,0,0
"[-1,-1,0,-1]_[1,1,0,1]",1,2,3,0.75
"[-1,-1,0,-1]_[1,1,1,0]",0,1,5,0.5
"[-1,-1,0,-1]_[1,1,1,0]",0,2,1,0.1
"[-1,-1,0,-1]_[1,1,1,0]",1,2,4,0.4
"[-1,-1,0,0]_[-1,-1,0,1]",0,1,24,0.615384615384615
"[-1,-1,0,0]_[-1,-1,0,1]",0,2,4,0.102564102564103
"[-1,-1,0,0]_[-1,-1,0,1]",1,2,11,0.282051282051282
"[-1,-1,0,0]_[-1,-1,1,0]",0,1,2,0.333333333333333
"[-1,-1,0,0]_[-1,-1,1,0]",0,2,1,0.166666666666667
"[-1,-1,0,0]_[-1,-1,1,0]",1,2,3,0.5
"[-1,-1,0,0]_[-1,0,-1,-1]",0,1,6,0.857142857142857
"[-1,-1,0,0]_[-1,0,-1,-1]",0,2,1,0.142857142857143
"[-1,-1,0,0]_[-1,0,-1,-1]",1,2,0,0
"[-1,-1,0,0]_[-1,0,-1,0]",0,1,7,0.777777777777778
"[-1,-1,0,0]_[-1,0,-1,0]",0,2,1,0.111111111111111
"[-1,-1,0,0]_[-1,0,-1,0]",1,2,1,0.111111111111111
"[-1,-1,0,0]_[-1,0,-1,1]",0,1,3,0.5
"[-1,-1,0,0]_[-1,0,-1,1]",0,2,0,0
"[-1,-1,0,0]_[-1,0,-1,1]",1,2,3,0.5
"[-1,-1,0,0]_[-1,0,0,-1]",0,1,29,0.604166666666667
"[-1,-1,0,0]_[-1,0,0,-1]",0,2,4,0.0833333333333333
"[-1,-1,0,0]_[-1,0,0,-1]",1,2,15,0.3125
"[-1,-1,0,0]_[-1,0,0,1]",0,1,5,0.625
"[-1,-1,0,0]_[-1,0,0,1]",0,2,1,0.125
"[-1,-1,0,0]_[-1,0,0,1]",1,2,2,0.25
"[-1,-1,0,0]_[-1,0,1,-1]",0,1,23,0.71875
"[-1,-1,0,0]_[-1,0,1,-1]",0,2,4,0.125
"[-1,-1,0,0]_[-1,0,1,-1]",1,2,5,0.15625
"[-1,-1,0,0]_[-1,0,1,0]",0,1,15,0.75
"[-1,-1,0,0]_[-1,0,1,0]",0,2,2,0.1
"[-1,-1,0,0]_[-1,0,1,0]",1,2,3,0.15
"[-1,-1,0,0]_[-1,0,1,1]",0,1,19,0.633333333333333
"[-1,-1,0,0]_[-1,0,1,1]",0,2,7,0.233333333333333
"[-1,-1,0,0]_[-1,0,1,1]",1,2,4,0.133333333333333
"[-1,-1,0,0]_[-1,1,-1,0]",0,1,1,0.333333333333333
"[-1,-1,0,0]_[-1,1,-1,0]",0,2,1,0.333333333333333
"[-1,-1,0,0]_[-1,1,-1,0]",1,2,1,0.333333333333333
"[-1,-1,0,0]_[-1,1,0,-1]",0,1,10,1
"[-1,-1,0,0]_[-1,1,0,-1]",0,2,0,0
"[-1,-1,0,0]_[-1,1,0,-1]",1,2,0,0
"[-1,-1,0,0]_[-1,1,0,0]",0,1,11,0.5
"[-1,-1,0,0]_[-1,1,0,0]",0,2,5,0.227272727272727
"[-1,-1,0,0]_[-1,1,0,0]",1,2,6,0.272727272727273
"[-1,-1,0,0]_[-1,1,0,1]",0,1,4,0.222222222222222
"[-1,-1,0,0]_[-1,1,0,1]",0,2,2,0.111111111111111
"[-1,-1,0,0]_[-1,1,0,1]",1,2,12,0.666666666666667
"[-1,-1,0,0]_[-1,1,1,0]",0,1,9,0.692307692307692
"[-1,-1,0,0]_[-1,1,1,0]",0,2,1,0.0769230769230769
"[-1,-1,0,0]_[-1,1,1,0]",1,2,3,0.230769230769231
"[-1,-1,0,0]_[0,-1,-1,-1]",0,1,2,1
"[-1,-1,0,0]_[0,-1,-1,-1]",0,2,0,0
"[-1,-1,0,0]_[0,-1,-1,-1]",1,2,0,0
"[-1,-1,0,0]_[0,-1,-1,1]",0,1,0,0
"[-1,-1,0,0]_[0,-1,-1,1]",0,2,0,0
"[-1,-1,0,0]_[0,-1,-1,1]",1,2,1,1
"[-1,-1,0,0]_[0,-1,0,-1]",0,1,6,0.545454545454545
"[-1,-1,0,0]_[0,-1,0,-1]",0,2,5,0.454545454545455
"[-1,-1,0,0]_[0,-1,0,-1]",1,2,0,0
"[-1,-1,0,0]_[0,-1,0,1]",0,1,0,0
"[-1,-1,0,0]_[0,-1,0,1]",0,2,1,1
"[-1,-1,0,0]_[0,-1,0,1]",1,2,0,0
"[-1,-1,0,0]_[0,-1,1,-1]",0,1,10,0.588235294117647
"[-1,-1,0,0]_[0,-1,1,-1]",0,2,0,0
"[-1,-1,0,0]_[0,-1,1,-1]",1,2,7,0.411764705882353
"[-1,-1,0,0]_[0,-1,1,1]",0,1,26,0.742857142857143
"[-1,-1,0,0]_[0,-1,1,1]",0,2,4,0.114285714285714
"[-1,-1,0,0]_[0,-1,1,1]",1,2,5,0.142857142857143
"[-1,-1,0,0]_[0,0,1,1]",0,1,26,0.577777777777778
"[-1,-1,0,0]_[0,0,1,1]",0,2,10,0.222222222222222
"[-1,-1,0,0]_[0,0,1,1]",1,2,9,0.2
"[-1,-1,0,0]_[0,1,-1,-1]",0,1,15,1
"[-1,-1,0,0]_[0,1,-1,-1]",0,2,0,0
"[-1,-1,0,0]_[0,1,-1,-1]",1,2,0,0
"[-1,-1,0,0]_[0,1,-1,1]",0,1,12,0.571428571428571
"[-1,-1,0,0]_[0,1,-1,1]",0,2,2,0.0952380952380952
"[-1,-1,0,0]_[0,1,-1,1]",1,2,7,0.333333333333333
"[-1,-1,0,0]_[0,1,0,-1]",0,1,1,0.25
"[-1,-1,0,0]_[0,1,0,-1]",0,2,2,0.5
"[-1,-1,0,0]_[0,1,0,-1]",1,2,1,0.25
"[-1,-1,0,0]_[0,1,1,1]",0,1,10,0.666666666666667
"[-1,-1,0,0]_[0,1,1,1]",0,2,2,0.133333333333333
"[-1,-1,0,0]_[0,1,1,1]",1,2,3,0.2
"[-1,-1,0,0]_[1,-1,-1,0]",0,1,12,0.6
"[-1,-1,0,0]_[1,-1,-1,0]",0,2,3,0.15
"[-1,-1,0,0]_[1,-1,-1,0]",1,2,5,0.25
"[-1,-1,0,0]_[1,-1,0,-1]",0,1,7,0.35
"[-1,-1,0,0]_[1,-1,0,-1]",0,2,2,0.1
"[-1,-1,0,0]_[1,-1,0,-1]",1,2,11,0.55
"[-1,-1,0,0]_[1,-1,0,0]",0,1,10,0.384615384615385
"[-1,-1,0,0]_[1,-1,0,0]",0,2,5,0.192307692307692
"[-1,-1,0,0]_[1,-1,0,0]",1,2,11,0.423076923076923
"[-1,-1,0,0]_[1,-1,0,1]",0,1,0,0
"[-1,-1,0,0]_[1,-1,0,1]",0,2,1,0.5
"[-1,-1,0,0]_[1,-1,0,1]",1,2,1,0.5
"[-1,-1,0,0]_[1,-1,1,0]",0,1,6,0.666666666666667
"[-1,-1,0,0]_[1,-1,1,0]",0,2,0,0
"[-1,-1,0,0]_[1,-1,1,0]",1,2,3,0.333333333333333
"[-1,-1,0,0]_[1,0,-1,-1]",0,1,60,0.810810810810811
"[-1,-1,0,0]_[1,0,-1,-1]",0,2,3,0.0405405405405405
"[-1,-1,0,0]_[1,0,-1,-1]",1,2,11,0.148648648648649
"[-1,-1,0,0]_[1,0,-1,0]",0,1,5,0.5
