"efforts_tuples","selected0","selected1","count","count_normalized","selected_motions"
"[-1,-1,0,-1]_[0,1,-1,0]",0,1,8,0.666666666666667,"0_1"
"[-1,-1,0,-1]_[0,1,-1,0]",0,2,2,0.166666666666667,"0_2"
"[-1,-1,0,-1]_[0,1,-1,0]",1,2,2,0.166666666666667,"1_2"
"[-1,-1,0,-1]_[0,1,-1,1]",0,1,5,0.384615384615385,"0_1"
"[-1,-1,0,-1]_[0,1,-1,1]",0,2,0,0,"0_2"
"[-1,-1,0,-1]_[0,1,-1,1]",1,2,8,0.615384615384615,"1_2"
"[-1,-1,0,-1]_[0,1,0,-1]",0,1,0,0,"0_1"
"[-1,-1,0,-1]_[0,1,0,-1]",0,2,13,1,"0_2"
"[-1,-1,0,-1]_[0,1,0,-1]",1,2,0,0,"1_2"
"[-1,-1,0,-1]_[0,1,0,1]",0,1,1,0.1,"0_1"
"[-1,-1,0,-1]_[0,1,0,1]",0,2,3,0.3,"0_2"
"[-1,-1,0,-1]_[0,1,0,1]",1,2,6,0.6,"1_2"
"[-1,-1,0,-1]_[0,1,1,-1]",0,1,6,0.545454545454545,"0_1"
"[-1,-1,0,-1]_[0,1,1,-1]",0,2,4,0.363636363636364,"0_2"
"[-1,-1,0,-1]_[0,1,1,-1]",1,2,1,0.0909090909090909,"1_2"
"[-1,-1,0,-1]_[0,1,1,0]",0,1,4,0.4,"0_1"
"[-1,-1,0,-1]_[0,1,1,0]",0,2,4,0.4,"0_2"
"[-1,-1,0,-1]_[0,1,1,0]",1,2,2,0.2,"1_2"
"[-1,-1,0,-1]_[0,1,1,1]",0,1,6,0.6,"0_1"
"[-1,-1,0,-1]_[0,1,1,1]",0,2,2,0.2,"0_2"
"[-1,-1,0,-1]_[0,1,1,1]",1,2,2,0.2,"1_2"
"[-1,-1,0,-1]_[1,-1,-1,0]",0,1,11,0.647058823529412,"0_1"
"[-1,-1,0,-1]_[1,-1,-1,0]",0,2,0,0,"0_2"
"[-1,-1,0,-1]_[1,-1,-1,0]",1,2,6,0.352941176470588,"1_2"
"[-1,-1,0,-1]_[1,-1,0,-1]",0,1,6,0.5,"0_1"
"[-1,-1,0,-1]_[1,-1,0,-1]",0,2,4,0.333333333333333,"0_2"
"[-1,-1,0,-1]_[1,-1,0,-1]",1,2,2,0.166666666666667,"1_2"
"[-1,-1,0,-1]_[1,-1,0,0]",0,1,2,0.2,"0_1"
"[-1,-1,0,-1]_[1,-1,0,0]",0,2,2,0.2,"0_2"
"[-1,-1,0,-1]_[1,-1,0,0]",1,2,6,0.6,"1_2"
"[-1,-1,0,-1]_[1,-1,0,1]",0,1,1,0.1,"0_1"
"[-1,-1,0,-1]_[1,-1,0,1]",0,2,2,0.2,"0_2"
"[-1,-1,0,-1]_[1,-1,0,1]",1,2,7,0.7,"1_2"
"[-1,-1,0,-1]_[1,-1,1,0]",0,1,7,0.7,"0_1"
"[-1,-1,0,-1]_[1,-1,1,0]",0,2,1,0.1,"0_2"
"[-1,-1,0,-1]_[1,-1,1,0]",1,2,2,0.2,"1_2"
"[-1,-1,0,-1]_[1,0,-1,-1]",0,1,7,0.636363636363636,"0_1"
"[-1,-1,0,-1]_[1,0,-1,-1]",0,2,2,0.181818181818182,"0_2"
"[-1,-1,0,-1]_[1,0,-1,-1]",1,2,2,0.181818181818182,"1_2"
"[-1,-1,0,-1]_[1,0,-1,0]",0,1,5,0.5,"0_1"
"[-1,-1,0,-1]_[1,0,-1,0]",0,2,0,0,"0_2"
"[-1,-1,0,-1]_[1,0,-1,0]",1,2,5,0.5,"1_2"
"[-1,-1,0,-1]_[1,0,-1,1]",0,1,7,0.636363636363636,"0_1"
"[-1,-1,0,-1]_[1,0,-1,1]",0,2,0,0,"0_2"
"[-1,-1,0,-1]_[1,0,-1,1]",1,2,4,0.363636363636364,"1_2"
"[-1,-1,0,-1]_[1,0,0,-1]",0,1,5,0.416666666666667,"0_1"
"[-1,-1,0,-1]_[1,0,0,-1]",0,2,6,0.5,"0_2"
"[-1,-1,0,-1]_[1,0,0,-1]",1,2,1,0.0833333333333333,"1_2"
"[-1,-1,0,-1]_[1,0,0,1]",0,1,0,0,"0_1"
"[-1,-1,0,-1]_[1,0,0,1]",0,2,0,0,"0_2"
"[-1,-1,0,-1]_[1,0,0,1]",1,2,10,1,"1_2"
"[-1,-1,0,-1]_[1,0,1,-1]",0,1,5,0.357142857142857,"0_1"
"[-1,-1,0,-1]_[1,0,1,-1]",0,2,7,0.5,"0_2"
"[-1,-1,0,-1]_[1,0,1,-1]",1,2,2,0.142857142857143,"1_2"
"[-1,-1,0,-1]_[1,0,1,0]",0,1,4,0.363636363636364,"0_1"
"[-1,-1,0,-1]_[1,0,1,0]",0,2,3,0.272727272727273,"0_2"
"[-1,-1,0,-1]_[1,0,1,0]",1,2,4,0.363636363636364,"1_2"
"[-1,-1,0,-1]_[1,0,1,1]",0,1,7,0.636363636363636,"0_1"
"[-1,-1,0,-1]_[1,0,1,1]",0,2,0,0,"0_2"
"[-1,-1,0,-1]_[1,0,1,1]",1,2,4,0.363636363636364,"1_2"
"[-1,-1,0,-1]_[1,1,-1,0]",0,1,5,0.5,"0_1"
"[-1,-1,0,-1]_[1,1,-1,0]",0,2,1,0.1,"0_2"
"[-1,-1,0,-1]_[1,1,-1,0]",1,2,4,0.4,"1_2"
"[-1,-1,0,-1]_[1,1,0,-1]",0,1,4,0.4,"0_1"
