,efforts_tuples,selected0,selected1,count,count_normalized,selected_motions,alpha_0_2,alpha_2_0,alpha_0_1,alpha_2_1,alpha_1_0,alpha_1_2
23,"[(-1, -1, -1, 0), (0, -1, 1, 0)]",1,2,13,0.722222222222222,1_2,0.0,0.0,0.0,0.6111111111111109,0.0,0.555555555555555
24,"[(-1, -1, -1, 0), (0, -1, 1, 1)]",1,2,7,0.7,1_2,0.0,0.0,0.0,0.7,0.0,0.39999999999999997
25,"[(-1, -1, -1, 0), (0, 0, -1, -1)]",0,1,10,0.555555555555556,0_1,0.0,0.0,0.277777777777778,0.0,0.38888888888888906,0.0
26,"[(-1, -1, -1, 0), (0, 0, -1, 1)]",0,2,6,0.6,0_2,0.3,0.5,0.0,0.0,0.0,0.0
27,"[(-1, -1, -1, 0), (0, 0, 1, -1)]",0,1,9,0.9,0_1,0.0,0.0,0.9,0.0,0.8,0.0
28,"[(-1, -1, -1, 0), (0, 0, 1, 1)]",0,1,4,0.4,0_1,0.0,0.0,0.2,0.0,0.0,0.0
29,"[(-1, -1, -1, 0), (0, 1, -1, -1)]",0,1,5,0.5,0_1,0.0,0.0,0.09999999999999998,0.0,0.4,0.0
30,"[(-1, -1, -1, 0), (0, 1, -1, 0)]",0,2,6,0.545454545454545,0_2,0.272727272727272,0.363636363636363,0.0,0.0,0.0,0.0
31,"[(-1, -1, -1, 0), (0, 1, -1, 1)]",0,2,10,0.666666666666667,0_2,0.333333333333334,0.666666666666667,0.0,0.0,0.0,0.0
32,"[(-1, -1, -1, 0), (0, 1, 0, -1)]",0,1,6,0.6,0_1,0.0,0.0,0.5,0.0,0.3,0.0
33,"[(-1, -1, -1, 0), (0, 1, 0, 1)]",1,2,8,0.727272727272727,1_2,0.0,0.0,0.0,0.727272727272727,0.0,0.454545454545454
34,"[(-1, -1, -1, 0), (0, 1, 1, -1)]",0,1,13,0.928571428571429,0_1,0.0,0.0,0.928571428571429,0.0,0.8571428571428577,0.0
35,"[(-1, -1, -1, 0), (0, 1, 1, 0)]",0,1,7,0.636363636363636,0_1,0.0,0.0,0.5454545454545451,0.0,0.36363636363636304,0.0
36,"[(-1, -1, -1, 0), (0, 1, 1, 1)]",0,1,5,0.5,0_1,0.0,0.0,0.4,0.0,0.09999999999999998,0.0
37,"[(-1, -1, -1, 0), (1, -1, -1, 0)]",0,2,5,0.5,0_2,0.4,0.09999999999999998,0.0,0.0,0.0,0.0
38,"[(-1, -1, -1, 0), (1, -1, 0, -1)]",0,1,6,0.6,0_1,0.0,0.0,0.5,0.0,0.3,0.0
39,"[(-1, -1, -1, 0), (1, -1, 0, 0)]",1,2,9,0.9,1_2,0.0,0.0,0.0,0.8,0.0,0.9
40,"[(-1, -1, -1, 0), (1, -1, 0, 1)]",1,2,8,0.727272727272727,1_2,0.0,0.0,0.0,0.636363636363636,0.0,0.545454545454545
41,"[(-1, -1, -1, 0), (1, -1, 1, 0)]",0,1,5,0.5,0_1,0.0,0.0,0.4,0.0,0.09999999999999998,0.0
42,"[(-1, -1, -1, 0), (1, 0, -1, -1)]",0,1,7,0.4375,0_1,0.0,0.0,0.125,0.0,0.1875,0.0
43,"[(-1, -1, -1, 0), (1, 0, -1, 0)]",0,2,6,0.6,0_2,0.6,0.19999999999999996,0.0,0.0,0.0,0.0
44,"[(-1, -1, -1, 0), (1, 0, -1, 1)]",0,2,4,0.4,0_2,0.10000000000000003,0.10000000000000003,0.0,0.0,0.0,0.0
45,"[(-1, -1, -1, 0), (1, 0, 0, -1)]",0,1,7,0.583333333333333,0_1,0.0,0.0,0.4999999999999997,0.0,0.25000000000000006,0.0
46,"[(-1, -1, -1, 0), (1, 0, 0, 1)]",1,2,11,0.611111111111111,1_2,0.0,0.0,0.0,0.5555555555555555,0.0,0.27777777777777807
47,"[(-1, -1, -1, 0), (1, 0, 1, -1)]",0,1,5,0.454545454545455,0_1,0.0,0.0,0.181818181818182,0.0,0.181818181818182,0.0
48,"[(-1, -1, -1, 0), (1, 0, 1, 0)]",1,2,6,0.428571428571429,1_2,0.0,0.0,0.0,0.214285714285715,0.0,0.07142857142857201
49,"[(-1, -1, -1, 0), (1, 0, 1, 1)]",1,2,6,0.545454545454545,1_2,0.0,0.0,0.0,0.545454545454545,0.0,0.09090909090909
50,"[(-1, -1, -1, 0), (1, 1, -1, 0)]",0,2,6,0.428571428571429,0_2,0.07142857142857201,0.214285714285715,0.0,0.0,0.0,0.0
51,"[(-1, -1, -1, 0), (1, 1, 0, -1)]",0,1,5,0.5,0_1,0.0,0.0,0.4,0.0,0.09999999999999998,0.0
52,"[(-1, -1, -1, 0), (1, 1, 0, 0)]",1,2,8,0.727272727272727,1_2,0.0,0.0,0.0,0.636363636363636,0.0,0.545454545454545
53,"[(-1, -1, -1, 0), (1, 1, 0, 1)]",1,2,11,0.611111111111111,1_2,0.0,0.0,0.0,0.5,0.0,0.33333333333333304
54,"[(-1, -1, -1, 0), (1, 1, 1, 0)]",1,2,13,0.764705882352941,1_2,0.0,0.0,0.0,0.764705882352941,0.0,0.529411764705882
55,"[(-1, -1, 0, -1), (-1, -1, 0, 0)]",1,2,7,0.7,1_2,0.0,0.0,0.0,0.39999999999999997,0.0,0.7
56,"[(-1, -1, 0, -1), (-1, -1, 0, 1)]",1,2,7,0.7,1_2,0.0,0.0,0.0,0.6,0.0,0.49999999999999994
57,"[(-1, -1, 0, -1), (-1, -1, 1, 0)]",1,2,8,0.8,1_2,0.0,0.0,0.0,0.7000000000000001,0.0,0.7000000000000001
58,"[(-1, -1, 0, -1), (-1, 0, -1, -1)]",0,2,7,0.466666666666667,0_2,0.2,0.2,0.0,0.0,0.0,0.0
59,"[(-1, -1, 0, -1), (-1, 0, -1, 0)]",1,2,5,0.5,1_2,0.0,0.0,0.0,0.3,0.0,0.2
60,"[(-1, -1, 0, -1), (-1, 0, -1, 1)]",1,2,9,0.818181818181818,1_2,0.0,0.0,0.0,0.7272727272727271,0.0,0.7272727272727271
61,"[(-1, -1, 0, -1), (-1, 0, 0, -1)]",1,2,8,0.666666666666667,1_2,0.0,0.0,0.0,0.41666666666666696,0.0,0.5833333333333337
62,"[(-1, -1, 0, -1), (-1, 0, 0, 1)]",1,2,9,0.9,1_2,0.0,0.0,0.0,0.8,0.0,0.9
63,"[(-1, -1, 0, -1), (-1, 0, 1, -1)]",0,2,7,0.636363636363636,0_2,0.36363636363636304,0.5454545454545451,0.0,0.0,0.0,0.0
64,"[(-1, -1, 0, -1), (-1, 0, 1, 0)]",1,2,8,0.5,1_2,0.0,0.0,0.0,0.3125,0.0,0.1875
65,"[(-1, -1, 0, -1), (-1, 0, 1, 1)]",1,2,6,0.6,1_2,0.0,0.0,0.0,0.5,0.0,0.3
66,"[(-1, -1, 0, -1), (-1, 1, -1, 0)]",1,2,5,0.454545454545455,1_2,0.0,0.0,0.0,0.090909090909091,0.0,0.272727272727273
67,"[(-1, -1, 0, -1), (-1, 1, 0, -1)]",0,2,5,0.454545454545455,0_2,0.181818181818182,0.181818181818182,0.0,0.0,0.0,0.0
68,"[(-1, -1, 0, -1), (-1, 1, 0, 0)]",1,2,5,0.5,1_2,0.0,0.0,0.0,0.2,0.0,0.3
69,"[(-1, -1, 0, -1), (-1, 1, 0, 1)]",1,2,14,0.777777777777778,1_2,0.0,0.0,0.0,0.611111111111111,0.0,0.7222222222222224
70,"[(-1, -1, 0, -1), (-1, 1, 1, 0)]",0,1,5,0.454545454545455,0_1,0.0,0.0,0.3636363636363641,0.0,0.0,0.0
71,"[(-1, -1, 0, -1), (0, -1, -1, -1)]",0,2,8,0.666666666666667,0_2,0.5,0.5,0.0,0.0,0.0,0.0
72,"[(-1, -1, 0, -1), (0, -1, -1, 0)]",1,2,9,0.692307692307692,1_2,0.0,0.0,0.0,0.6153846153846151,0.0,0.46153846153846095
73,"[(-1, -1, 0, -1), (0, -1, -1, 1)]",1,2,6,0.6,1_2,0.0,0.0,0.0,0.39999999999999997,0.0,0.39999999999999997
74,"[(-1, -1, 0, -1), (0, -1, 0, -1)]",0,2,9,0.9,0_2,0.9,0.8,0.0,0.0,0.0,0.0
75,"[(-1, -1, 0, -1), (0, -1, 0, 1)]",1,2,9,0.9,1_2,0.0,0.0,0.0,0.8,0.0,0.9
76,"[(-1, -1, 0, -1), (0, -1, 1, -1)]",0,2,6,0.6,0_2,0.39999999999999997,0.39999999999999997,0.0,0.0,0.0,0.0
77,"[(-1, -1, 0, -1), (0, -1, 1, 0)]",1,2,9,0.818181818181818,1_2,0.0,0.0,0.0,0.818181818181818,0.0,0.636363636363636
78,"[(-1, -1, 0, -1), (0, -1, 1, 1)]",1,2,6,0.6,1_2,0.0,0.0,0.0,0.39999999999999997,0.0,0.39999999999999997
79,"[(-1, -1, 0, -1), (0, 0, -1, -1)]",0,2,7,0.4375,0_2,0.1875,0.125,0.0,0.0,0.0,0.0
80,"[(-1, -1, 0, -1), (0, 0, -1, 1)]",0,1,5,0.5,0_1,0.0,0.0,0.4,0.0,0.09999999999999998,0.0
