,efforts_tuples,selected0,selected1,count,count_normalized,selected_motions,alpha_0_2,alpha_2_0,alpha_0_1,alpha_2_1,alpha_1_0,alpha_1_2
1440,"[(1, -1, 0, 1), (1, 0, 0, 1)]",1,2,5,0.454545454545455,1_2,0.0,0.0,0.0,0.272727272727273,0.0,0.090909090909091
1441,"[(1, -1, 0, 1), (1, 0, 1, -1)]",0,1,8,0.615384615384615,0_1,0.0,0.0,0.615384615384615,0.0,0.23076923076922995,0.0
1442,"[(1, -1, 0, 1), (1, 0, 1, 0)]",0,1,6,0.545454545454545,0_1,0.0,0.0,0.4545454545454541,0.0,0.181818181818181,0.0
1443,"[(1, -1, 0, 1), (1, 0, 1, 1)]",0,1,12,1.0,0_1,0.0,0.0,1.0,0.0,1.0,0.0
1444,"[(1, -1, 0, 1), (1, 1, -1, 0)]",0,1,7,0.7,0_1,0.0,0.0,0.7,0.0,0.39999999999999997,0.0
1445,"[(1, -1, 0, 1), (1, 1, 0, -1)]",0,1,8,0.727272727272727,0_1,0.0,0.0,0.727272727272727,0.0,0.454545454545454,0.0
1446,"[(1, -1, 0, 1), (1, 1, 0, 0)]",0,1,7,0.538461538461538,0_1,0.0,0.0,0.384615384615384,0.0,0.23076923076923,0.0
1447,"[(1, -1, 0, 1), (1, 1, 0, 1)]",0,1,7,0.538461538461538,0_1,0.0,0.0,0.538461538461538,0.0,0.07692307692307598,0.0
1448,"[(1, -1, 0, 1), (1, 1, 1, 0)]",0,1,11,0.785714285714286,0_1,0.0,0.0,0.785714285714286,0.0,0.5714285714285721,0.0
1449,"[(1, -1, 1, 0), (1, 0, -1, -1)]",0,1,8,0.666666666666667,0_1,0.0,0.0,0.5833333333333337,0.0,0.41666666666666696,0.0
1450,"[(1, -1, 1, 0), (1, 0, -1, 0)]",0,1,4,0.4,0_1,0.0,0.0,0.2,0.0,0.0,0.0
1451,"[(1, -1, 1, 0), (1, 0, -1, 1)]",0,1,5,0.454545454545455,0_1,0.0,0.0,0.3636363636363641,0.0,0.0,0.0
1452,"[(1, -1, 1, 0), (1, 0, 0, -1)]",0,1,5,0.454545454545455,0_1,0.0,0.0,0.3636363636363641,0.0,0.0,0.0
1453,"[(1, -1, 1, 0), (1, 0, 0, 1)]",1,2,6,0.6,1_2,0.0,0.0,0.0,0.5,0.0,0.3
1454,"[(1, -1, 1, 0), (1, 0, 1, -1)]",0,1,5,0.5,0_1,0.0,0.0,0.2,0.0,0.3,0.0
